timestamp,x,y,z
1789306985.498,-0.0245264321565628,0.1633101403713226,9.889535903930664
1789306986.527,-0.029312077909708,0.1531406491994857,9.865009307861328
1789306987.589,-0.0388833694159984,0.1609173268079757,9.877572059631348
1789306988.636,-0.0364905446767807,0.1627119332551956,9.879964828491213
1789306989.656,-0.0281156655400991,0.1477568000555038,9.863813400268556
1789306990.714,-0.0269192550331354,0.1537388563156128,9.865009307861328
1789306991.744,-0.0562313310801982,0.1495514214038849,9.862616539001465
1789306992.754,-0.0251246374100446,0.1513460278511047,9.859625816345217
1789306994.841,-1.3555340766906738,-1.439282774925232,9.890732765197754
1789306995.871,-4.78803825378418,1.2454642057418823,12.192627906799316
1789306996.9,2.3575284481048584,7.901698589324951,12.969696998596191
1789306997.899,4.471587181091309,0.7615157961845398,0.0963111147284507
1789306999.965,-0.2057827413082122,4.18564510345459,-11.08056354522705
1789307002.013,-30.15973472595215,-4.879563808441162,-2.902493953704834
1789307003.073,-12.911072731018066,8.883354187011719,-1.283151149749756
1789307004.107,7.131807804107666,3.586242914199829,30.585058212280277
1789307005.133,0.7076773047447205,-8.797810554504395,2.3198416233062744
1789307006.183,3.964308977127075,9.511469841003418,0.0837487950921058
1789307007.245,5.653641700744629,8.029714584350586,1.6211373805999756
1789307008.291,10.39083194732666,2.130210399627685,7.743772506713867
1789307009.318,-6.858428001403809,-3.221935749053955,-3.386442184448242
1789307010.346,8.9910306930542,8.376673698425293,4.163511276245117
1789307011.373,8.452646255493164,3.833301782608032,1.3489537239074707
1789307012.433,8.25404167175293,4.141377925872803,3.056232690811157
1789307013.479,7.746763229370117,3.744169235229492,3.2793633937835693
1789307014.537,7.33340311050415,4.721039295196533,3.784249067306519
1789307015.599,8.84088134765625,5.453242778778076,2.4053850173950195
1789307016.615,11.054242134094238,2.4813570976257324,4.676771640777588
1789307017.631,5.591428279876709,-0.6837490797042847,6.467799663543701
1789307018.659,12.75075340270996,2.100300073623657,-2.5764718055725098
1789307019.703,8.38564682006836,1.4117653369903564,4.292723655700684
1789307020.717,8.395217895507812,3.865006685256958,2.628515720367432
1789307021.729,8.38863754272461,3.61435866355896,3.2446675300598145
1789307022.79,8.363512992858887,3.585046529769897,3.452244758605957
1789307023.85,8.492127418518066,3.8835511207580566,2.958127021789551
1789307024.877,8.38145923614502,3.73459792137146,2.475374937057495
1789307025.923,8.761918067932129,4.079164505004883,2.1756739616394043
1789307026.981,8.468199729919434,3.680161237716675,2.685943365097046
1789307028.011,8.537590980529785,3.82373046875,2.7008986473083496
1789307029.07,8.642276763916016,3.714258909225464,2.589632272720337
1789307030.084,7.64865779876709,3.6394832134246826,1.6049858331680298
1789307031.091,7.562515735626221,5.312066078186035,3.168097257614136
1789307032.097,7.595417499542236,5.578267574310303,3.633501291275024
1789307033.143,7.6911301612854,5.230710506439209,3.1818559169769287
1789307034.173,7.628318786621094,5.199005603790283,3.1435706615448
1789307035.234,7.734799385070801,5.36650276184082,2.8971099853515625
1789307036.293,7.661220073699951,4.9704909324646,3.0580272674560547
1789307037.308,7.790432453155518,5.0362935066223145,3.047259569168091
1789307038.369,7.850851058959961,5.191228866577148,2.80139708518982
1789307039.428,7.901100158691406,4.891527652740479,3.0215368270874023
1789307040.49,7.9316086769104,4.916054248809815,2.9282166957855225
1789307041.505,7.8765740394592285,4.942973613739014,2.837887763977051
1789307042.52,7.909475326538086,4.971088886260986,2.943770170211792
1789307043.564,7.9005022048950195,4.853840827941895,3.119044303894043
1789307044.573,7.926225185394287,4.837689399719238,2.977867841720581
1789307045.602,7.9040913581848145,4.773082733154297,2.944966554641724
1789307046.646,7.946564197540283,4.782654285430908,2.971885681152344
1789307047.678,7.944769382476807,4.890929698944092,2.8929226398468018
1789307048.707,7.908876895904541,4.781457901000977,2.9700911045074463
1789307049.751,8.041678428649902,4.814359188079834,2.913261651992798
1789307050.753,7.925626754760742,4.731208801269531,3.0281169414520264
1789307051.811,8.044670104980469,4.89272403717041,2.9114668369293213
1789307052.868,7.814958572387695,4.711467742919922,2.848057270050049
1789307053.929,8.193622589111328,4.890331268310547,3.7435710430145264
1789307054.953,7.979465484619141,4.457230567932129,2.864208698272705
1789307055.964,7.950751304626465,4.758726119995117,2.99222469329834
1789307057.021,7.872386455535889,4.7712883949279785,3.0305099487304688
1789307058.064,8.039285659790039,4.987838745117188,2.968296527862549
1789307059.096,7.934001445770264,4.803591251373291,2.8103702068328857
1789307060.097,8.104490280151367,4.875376224517822,2.8414769172668457
1789307061.156,8.018348693847656,5.271388053894043,2.571686029434204
1789307062.186,8.02373218536377,4.769493579864502,2.686541557312012
1789307063.24,8.022536277770996,4.746761798858643,2.779263496398926
1789307065.338,7.944170951843262,4.825725078582764,2.751147747039795
1789307066.373,8.216354370117188,4.7712883949279785,2.93419885635376
1789307067.418,0.9343972206115724,4.105485439300537,2.6703901290893555
1789307068.432,7.229315280914307,7.299903869628906,6.539584159851074
1789307070.518,-1.210768222808838,-2.1852452754974365,-8.206185340881348
1789307071.539,-1.0600204467773438,8.672785758972168,4.471587181091309
1789307072.552,0.1435693651437759,8.669196128845215,4.5098724365234375
1789307073.567,-1.609771490097046,9.110671997070312,-3.5856447219848637
1789307074.58,-5.478965759277344,9.41336441040039,-3.662813186645508
1789307075.627,-1.503889083862305,8.225926399230957,-7.515257835388184
1789307076.658,-4.406383037567139,6.106483459472656,1.784447431564331
1789307077.677,2.321038007736206,-5.186442852020264,-0.1034895777702331
1789307078.73,3.2961132526397705,-2.851646423339844,7.222136974334717
1789307079.789,-4.266402721405029,8.778668403625488,-1.8699909448623655
1789307080.815,-6.56411075592041,4.838287353515625,30.802207946777344
1789307081.854,1.3124631643295288,7.32921552658081,-7.987242221832275
1789307082.872,0.1286142170429229,9.693324089050291,1.2987045049667358
1789307083.888,1.123430252075195,9.29910659790039,1.8873388767242432
1789307084.899,0.6305087804794312,9.80219841003418,1.57806658744812
1789307085.959,0.6675975322723389,9.66221809387207,1.3710874319076538
1789307087.021,0.4319044947624206,9.280562400817873,1.3459627628326416
1789307088.061,0.6382854580879211,9.694520950317385,1.7252250909805298
1789307089.109,1.1018948554992676,9.262018203735352,1.9304096698760984
1789307090.16,-1.090528964996338,1.4333007335662842,6.638288021087647
1789307091.222,0.527019202709198,9.081958770751951,4.178466320037842
1789307092.282,-0.8662018179893494,-0.4899304509162903,5.439484119415283
1789307093.309,-2.1272194385528564,0.0556331276893615,9.75254726409912
1789307094.356,-0.1190429255366325,0.1962114572525024,9.859027862548828
1789307096.415,-0.0957129076123237,0.2099701911211013,9.86859893798828
1789307097.433,-0.0891326442360878,0.2261217385530471,9.900901794433594
1789307098.435,-0.1052841991186142,0.1842473447322845,9.903892517089844
1789307100.497,-0.0939182862639427,0.2057827413082122,9.868000984191896
